,,,,,,,,,,,,Collateral Details,Plate Number,Financier
,,,,,,,,,,,,Suzuki Ertiga GX MT,B1725TRQ,Modalku
,,,,,,,,,,,,Honda Civic SO4 1.6 AT,B8190TT,Modalku
,,,,,,,,,,,,Mitsubishi Lancer 1.8 AT,B1260ZER,Modalku
,,,,,,,,,,,,Daihatsu Grand Max PU S401 RP MT,B9246BUT,Modalku
,,,,,,,,,,,,Honda Freed GB 1 SE AT,B1557BKE,Modalku
,,,,,,,,,,,,Suzuki Ertiga GL MT,B1063SMO,Modalku
,,,,,,,,,,,,Toyota Avanza G MT,B1849EKU,Modalku
,,,,,,,,,,,,Toyota Avanza 1.5 G MT,B1464PZQ,Modalku
,,,,,,,,,,,,Hyundai Sedan AT,B1957geo,Modalku
,,,,,,,,,,,,Daihatsu Xenia x MT,B2116FMM,Modalku
,,,,,,,,,,,,Honda Brio E AT,B1009PRK,Modalku
,,,,,,,,,,,,Toyota Veloz 1.3 MT,F1164CB,Modalku
,,,,,,,,,,,,Toyota Avanza 1.3 G MT,B1459SIV,Modalku
,,,,,,,,,,,,Nissan Elgrand 2.5 AT,B7404JB,Modalku
,,,,,,,,,,,,Honda Crv 2.4 AT,B1081PCY,Modalku
,,,,,,,,,,,,Nissan Teana 2.3 AT,B1497GH,Modalku
,,,,,,,,,,,,Toyota Soluna GLI 1.5 MT MT,B1345KBL,Modalku
,,,,,,,,,,,,Toyota Sienta MT,B2787SOK,Modalku
,,,,,,,,,,,,Ford Ranger Double Cabin XLT 3.0 MT,B9310KWM,Modalku
,,,,,,,,,,,,Toyota Rush G AT,B2560UFR,Modalku
,,,,,,,,,,,,Nissan March 1.2 4 x 2  AT,B2129SFO,Modalku
,,,,,,,,,,,,Hyundai  H 1 AT,B1936UKE,Modalku
,,,,,,,,,,,,Suzuki RW415FX-over (4x2) AT,B1486WVL,Modalku
,,,,,,,,,,,,Nissan Grand livina xv,B1941PRC,Modalku
,,,,,,,,,,,,Daihatsu Sigra R dlx 1.2 MT,B2882UKW,Modalku
,,,,,,,,,,,,Honda Brio AT,B1721EZG,Modalku
,,,,,,,,,,,,Nissan Elgrand 2.5 hws AT,B2953BBP,Modalku
,,,,,,,,,,,,Toyota Rush s AT,F1572HU,Modalku
,,,,,,,,,,,,Toyota Kijang Innova G 2.4 Diesel AT,B1655FIY,Modalku
,,,,,,,,,,,,Mitsubishi Strada triton sc 4x4 MT,A8131UI,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G AT,B1401FZG,Modalku
,,,,,,,,,,,,Toyota Sedan Soluna AT,B1473ZEN,Modalku
,,,,,,,,,,,,Toyota Sedan Corona AT,B1581EER,Modalku
,,,,,,,,,,,,Toyota PU Box KF 50 Super Long,B9137ERU,Modalku
,,,,,,,,,,,,Nissan Xtrail XT 2.5 AT,B2908TGX,Modalku
,,,,,,,,,,,,Daihatsu Terios TX MT,B1418SOL,Modalku
,,,,,,,,,,,,Toyota Avanza G 1.3 MT,B1510CMM,Modalku
,,,,,,,,,,,,Daihatsu Sigra AT,B1205EZE,Modalku
,,,,,,,,,,,,Toyota Agya G TRD AT,B1341FYN,Modalku
,,,,,,,,,,,,Daihatsu Xenia AT,B2415UFJ,Modalku
,,,,,,,,,,,,Daihatsu Blind Van S401RV MT,B9822NCF,Modalku
,,,,,,,,,,,,Mitsubitshi Strada triton DC MT,BG9431NS,Modalku
,,,,,,,,,,,,Nissan Serena AT,B1989CVA,Modalku
,,,,,,,,,,,,Nissan Terano MT,B2001IQ,Modalku
,,,,,,,,,,,,Toyota Camry V 2.4 AT,A1615RN,Modalku
,,,,,,,,,,,,Toyota Rush AT,B1217NOP,Modalku
,,,,,,,,,,,,Toyota Yaris E CVT 1.5  AT,B1648BRE,Modalku
,,,,,,,,,,,,Suzuki St-150 pick-up MT,B9860SAI,Modalku
,,,,,,,,,,,,Honda Mobilio RS MT,A1631YC,Modalku
,,,,,,,,,,,,Honda Stream 1.7 AT,B1942TMS,Modalku
,,,,,,,,,,,,Daihatsu Xenia X MT,B2409UKQ,Modalku
,,,,,,,,,,,,Daihatsu Sigra R MT,B1282NRM,Modalku
,,,,,,,,,,,,Toyota Agya G AT,B1291VFX,Modalku
,,,,,,,,,,,,Daihatsu Xenia XI MT,B2796FMR,Modalku
,,,,,,,,,,,,Honda Freed PSD AT,B1483WYE,Modalku
,,,,,,,,,,,,Toyota Sienta Q AT,B1008JB,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G AT,B1018NRV,Modalku
,,,,,,,,,,,,Toyota Agya AT,B2280BKB,Modalku
,,,,,,,,,,,,Suzuki Ertiga GX 1.5 AT,B1713VMI,Modalku
,,,,,,,,,,,,Mitsubitshi Strada Triton 2.5 DC exceed MT,BG9433NS,Modalku
,,,,,,,,,,,,Mitsubitshi Sedan Lancer MT,B800YZ,Modalku
,,,,,,,,,,,,Chevrolet Sedan Kalos AT,B1876ZRB,Modalku
,,,,,,,,,,,,Suzuki Carry futura MT,B9517BCS,Modalku
,,,,,,,,,,,,Toyota Calya G AT,B1988WYF,Modalku
,,,,,,,,,,,,Mazda 2 GT AT,B2228SIT,Modalku
,,,,,,,,,,,,Toyota Hilux triton 2.5 DC MT,B9280FBA,Modalku
,,,,,,,,,,,,Ranger DC 4x4,F8966SM,Modalku
,,,,,,,,,,,,Captiva diesel,D1300ff,Modalku
,,,,,,,,,,,,Granmax 1.3 D minibus,B2464UFA,Modalku
,,,,,,,,,,,,Carry pickup,B9479KAK,Modalku
,,,,,,,,,,,,Fortuner G 2.7,B2206ZM,Modalku
,,,,,,,,,,,,Escudo 2wd,B1679ELO,Modalku
,,,,,,,,,,,,Kijang Innova reborn G 2.0 bensin,B1674NRJ,Modalku
,,,,,,,,,,,,Honda Accord 2.4 Vtil,B1189FBG,Modalku
,,,,,,,,,,,,Nissan Livina XV,B1194SOP,Modalku
,,,,,,,,,,,,Toyota Veloz 1.5 AT,B1674KIT,Modalku
,,,,,,,,,,,,Nissan Serena,B8805GS,Modalku
,,,,,,,,,,,,Honda Logo,L1356BY,Modalku
,,,,,,,,,,,,Toyota Camry 2.4 V Gasoline,B1067JE,Modalku
,,,,,,,,,,,,Honda Jazz S AT 2011,B1525KIV,Modalku
,,,,,,,,,,,,Honda Jazz IVTEC 1.5,B8230QW,Modalku
,,,,,,,,,,,,Honda CRV 2.4 prestige AT,B1962SJL,Modalku
,,,,,,,,,,,,Honda Civic FB2,B1934FAA,Modalku
,,,,,,,,,,,,Honda Crv 2.4 At,B2294SX,Modalku
,,,,,,,,,,,,Toyota Avanza,B2116TOV,Modalku
,,,,,,,,,,,,Suzuki Sx4,B8005DS,Modalku
,,,,,,,,,,,,Daihatsu Pick up,B9566FAX,Modalku
,,,,,,,,,,,,Toyota Yaris E,F1360MO,Modalku
,,,,,,,,,,,,Honda City s,F1409CN,Modalku
,,,,,,,,,,,,Daihatsu FGX,A1886BL,Modalku
,,,,,,,,,,,,Mitsibishi Expander,B1820ZKP,Modalku
,,,,,,,,,,,,Honda Freed 1.5 E AT,B1482NYT,Modalku
,,,,,,,,,,,,Mitsubishi Pajero sports glx,BM1293VR,Modalku
,,,,,,,,,,,,Toyota Vios 1.5 G,B2081KBD,Modalku
,,,,,,,,,,,,Toyota Corolla 1.6,B1997TBC,Modalku
,,,,,,,,,,,,Toyota Avanza S 1.5,B1650SFY,Modalku
,,,,,,,,,,,,Nissan Grand Livina XV 1.5 AT,B1864BYO,Modalku
,,,,,,,,,,,,Daihatsu Granmax Blindvan 1.3 AC MT,B9563UCQ,Modalku
,,,,,,,,,,,,Honda Jazz e AT,B1564EMW,Modalku
,,,,,,,,,,,,Honda Freed GB3 1.5 E AT CKD AT,B1493SVA,Modalku
,,,,,,,,,,,,Honda City MT,Z1448GQ,Modalku
,,,,,,,,,,,,Honda Honda freed psd AT,B2578KGW,Modalku
,,,,,,,,,,,,Honda City vtech AT,B1915KBM,Modalku
,,,,,,,,,,,,Nissan Grand livina xv AT,B1985SRT,Modalku
,,,,,,,,,,,,Toyota Corolla,B2385WY,Modalku
,,,,,,,,,,,,Honda Crv 2.4,B1175NCQ,Modalku
,,,,,,,,,,,,Honda Civic,B2754GV,Modalku
,,,,,,,,,,,,Peugeot 408 AT,D1506VCK,Modalku
,,,,,,,,,,,,Honda Crv AT,F1552BO,Modalku
,,,,,,,,,,,,Chevrolet Captiva 2.4 diesel matic AT,B2448BBE,Modalku
,,,,,,,,,,,,Ford Ecosport AT,B1114BIT,Modalku
,,,,,,,,,,,,Daihatsu Xenia x MT,B1652BIY,Modalku
,,,,,,,,,,,,Daihatsu Terios MT,F1271BZ,Modalku
,,,,,,,,,,,,Mercedes Benz Vaneo 1.9 AT AT,B2468WGY,Modalku
,,,,,,,,,,,,Isuzu Panther LS AT,B1466KYK,Modalku
,,,,,,,,,,,,Honda Hrv AT,F1743EO,Modalku
,,,,,,,,,,,,Toyota Kijang Super LSX MT,A1509NA,Modalku
,,,,,,,,,,,,Toyota Kijang LGX MT,B2884PBI,Modalku
,,,,,,,,,,,,Toyota Calya G MT,B2363SYP,Modalku
,,,,,,,,,,,,Daihatsu Blind van 1.3 MT MT,B9082TI,Modalku
,,,,,,,,,,,,Toyota Agya G at AT,B1049KIK,Modalku
,,,,,,,,,,,,Chevrolet Optra 1.8 LT MT,B8522ON,Modalku
,,,,,,,,,,,,Toyota Agya G MT,B2171KKM,Modalku
,,,,,,,,,,,,Chevrolet Captiva AT,B115JRC,Modalku
,,,,,,,,,,,,Nissan Serena 2.0 Highway Star AT,B2829JBC,Modalku
,,,,,,,,,,,,Mitsubishi Mirage 1.2 L GLX MT,B1902NIJ,Modalku
,,,,,,,,,,,,Mitsubishi Delica d5 AT,B8003OS,Modalku
,,,,,,,,,,,,Honda Civic hatchback AT,B1274KDY,Modalku
,,,,,,,,,,,,Suzuki Pu 1.5 MT,F8240HD,Modalku
,,,,,,,,,,,,Mitsubishi Pajero sportAT,B2892WBF,Modalku
,,,,,,,,,,,,Suzuki Ertiga GLMT,B2415BOJ,Modalku
,,,,,,,,,,,,Nissan Serena HWS AT,B1140WMX,Modalku
,,,,,,,,,,,,Honda Brio Satya 1 2 E CVT AT,B2479TOR,Modalku
,,,,,,,,,,,,Daihatsu Deluxe RSAT,B1737SZM,Modalku
,,,,,,,,,,,,Toyota Avanza veloz 1.5 AT,B1406tyo,Modalku
,,,,,,,,,,,,Daihatsu AylaX1.0 AT,B1585CYA,Modalku
,,,,,,,,,,,,Daihatsu Xenia MT,B1877BRF,Modalku
,,,,,,,,,,,,Daihatsu Grand max minibus MT,B2460TE,Modalku
,,,,,,,,,,,,Daihatsu Daihatsu Taft Rocky MT,BG1644AW,Modalku
,,,,,,,,,,,,,B2159TVF,Modalku
,,,,,,,,,,,,Honda Crv 2.4 AT,B2686R,Modalku
,,,,,,,,,,,,Honda CRV 2.4 at AT,B1895ELQ,Modalku
,,,,,,,,,,,,Nissan Xtrail XT 2.5 AT,B1058ZMF,Modalku
,,,,,,,,,,,,Daihatsu Sirion  AT,B1091BMJ,Modalku
,,,,,,,,,,,,Suzuki APV DLX GC415V MT,B1780KON,Modalku
,,,,,,,,,,,,Toyota Avanza AT,B1085ZMB,Modalku
,,,,,,,,,,,,Daihatsu Granmax D 2012 AC PS MT,B1208POJ,Modalku
,,,,,,,,,,,,Honda Honda CR-V 2.4 AT,B1046NCQ,Modalku
,,,,,,,,,,,,Mitsubishi Strada triton SC HD 4x4MT MT,B9924PAJ,Modalku
,,,,,,,,,,,,Honda Mobilio 1.5 E CVT  AT,B2030PFE,Modalku
,,,,,,,,,,,,Proton  Saga MT,B1012NAC,Modalku
,,,,,,,,,,,,Toyota Crown royal saloon AT,B1127EET,Modalku
,,,,,,,,,,,,Daihatsu Daihatsu MT,BG8198IH,Modalku
,,,,,,,,,,,,Toyota Altis g MT,B1766WJ,Modalku
,,,,,,,,,,,,Nissan Xtrail 2.5 AT AT,B2184SZB,Modalku
,,,,,,,,,,,,Toyota Rush AT,B2938UFY,Modalku
,,,,,,,,,,,,Toyota Limo 1.5  MT,B1428WEE,Modalku
,,,,,,,,,,,,Toyota Harrier AT,B1205UJC,Modalku
,,,,,,,,,,,,Honda Jazz RS I-Vtech AT,B1086WMR,Modalku
,,,,,,,,,,,,Daihatsu Sirion 1.3 AT,B1340BOW,Modalku
,,,,,,,,,,,,Toyota Avanza G MT,B1723FFQ,Modalku
,,,,,,,,,,,,Daihatsu Xenia 1.3 E MT MT,B1522UIO,Modalku
,,,,,,,,,,,,Timor S515i Timor S515i MT,B1056SET,Modalku
,,,,,,,,,,,,Toyota Fortuner luxury AT,B8737UY,Modalku
,,,,,,,,,,,,Toyota Kijang short MT,B1610BMQ,Modalku
,,,,,,,,,,,,Daihatsu ayla 1.0 MT,B1956PYQ,Modalku
,,,,,,,,,,,,Suzuki St 150 MT,B9142FAH,Modalku
,,,,,,,,,,,,Suzuki Futura  st 150 pick up MT,B9246FAO,Modalku
,,,,,,,,,,,,Toyota Innova j MT,B1765EFU,Modalku
,,,,,,,,,,,,Mitsubishi Strada Triton SC MT MT,B9932PAJ,Modalku
,,,,,,,,,,,,Datsun Go+ panca 1.2  MT,B2182TGW,Modalku
,,,,,,,,,,,,Suzuki Swift st AT,F1811AB,Modalku
,,,,,,,,,,,,BMW X5 AT,B1107TCZ,Modalku
,,,,,,,,,,,,Suzuki PU AC PS MT,B9693UAQ,Modalku
,,,,,,,,,,,,Toyota Agya G 1.2 TRD AT,B2344TIZ,Modalku
,,,,,,,,,,,,Mitsubishi Pajero sport 3.0 V6.E AT,D250M,Modalku
,,,,,,,,,,,,Nissan Grand livina Xgear AT,B1783KYT,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G AT  AT,B1517WYN,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 M/T MT,B2606FKE,Modalku
,,,,,,,,,,,,Daihatsu Terios tx MT,E1206BI,Modalku
,,,,,,,,,,,,Toyota Innova v luxury 2.0 AT,B1906UZR,Modalku
,,,,,,,,,,,,Honda Civic 1.8 at AT,B2693WBD,Modalku
,,,,,,,,,,,,Toyota calya1.2G MT,B2599PKA,Modalku
,,,,,,,,,,,,Datsun Datsun Go+ Panca MT,B1159WYB,Modalku
,,,,,,,,,,,,Honda Jazz 2008 AT,B1738TB,Modalku
,,,,,,,,,,,,Toyota AGYA 1.2G MT,B1542ERR,Modalku
,,,,,,,,,,,,Honda Civic FD 1.8 MT,A1520DD,Modalku
,,,,,,,,,,,,Toyota Innova G 2.0  MT,B2174BGY,Modalku
,,,,,,,,,,,,Mazda Skyactiv 2  AT,B2837BID,Modalku
,,,,,,,,,,,,Daihatsu Ayla R MT,A1554FX,Modalku
,,,,,,,,,,,,Honda Honda Jazz idsi AT,B2848KVC,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Exceed 4X2  AT,B1162UJJ,Modalku
,,,,,,,,,,,,Toyota Fortuner VRZ AT AT,B1760KJK,Modalku
,,,,,,,,,,,,Honda CRV 2.0 AT,T1820FR,Modalku
,,,,,,,,,,,,Toyota AVANZA 1.3G AT,B1986UYG,Modalku
,,,,,,,,,,,,Daihatsu XENIA 1.3X  AT,B2582UFJ,Modalku
,,,,,,,,,,,,Mazda Sport  AT,B1654EGX,Modalku
,,,,,,,,,,,,Daihatsu XENIA R AT,B1243FRE,Modalku
,,,,,,,,,,,,Daihatsu Xenia AT,B1211BYN,Modalku
,,,,,,,,,,,,Toyota Avanza S AT,B1270BOQ,Modalku
,,,,,,,,,,,,Nissan Fontier 2.5 Navara MT,B9999DI,Modalku
,,,,,,,,,,,,Mercedes Benz  E 200 K  AT,F297K,Modalku
,,,,,,,,,,,,Daihatsu Terios TX AT,B1984NMU,Modalku
,,,,,,,,,,,,Suzuki minibus MT,B2174TFY,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E CVT CKD  AT,B1369VMX,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz AT,B1202KYJ,Modalku
,,,,,,,,,,,,Daihatsu Gran Max 1.3 D MT,B2078KKT,Modalku
,,,,,,,,,,,,Toyota Rush S 1.5 AT,B1424SKL,Modalku
,,,,,,,,,,,,Ford Everest 2.5 L Limited AT AT,B1231SRF,Modalku
,,,,,,,,,,,,Daihatsu Ayla RS  MT,B1587SYU,Modalku
,,,,,,,,,,,,Nissan Serena hws AT,B1669EYA,Modalku
,,,,,,,,,,,,Honda Brio 1.2 e at AT,B1958wyh,Modalku
,,,,,,,,,,,,Daihatsu Terios R deluxe AT,B2307UFZ,Modalku
,,,,,,,,,,,,Nissan Grand livina xv AT,B1799BYR,Modalku
,,,,,,,,,,,,Toyota Vios g  AT,B1703SER,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz  AT,B1277NZQ,Modalku
,,,,,,,,,,,,Daihatsu Sigra MT,B2966SIB,Modalku
,,,,,,,,,,,,Nissan Serena hws AT,B119PC,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz AT,B1649UIF,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.5 G TRD  MT,B1776KCS,Modalku
,,,,,,,,,,,,Honda Crv 2.4  AT,B1556KCR,Modalku
,,,,,,,,,,,,Daihatsu Ayla 1.2 R  AT,B1872COM,Modalku
,,,,,,,,,,,,Daihatsu Grandmax Blindvan AC PS  MT,B9951NCF,Modalku
,,,,,,,,,,,,Daihatsu Ayla AT,B2106PFZ,Modalku
,,,,,,,,,,,,Daihatsu Xenia xi sporty MT,B1035EYS,Modalku
,,,,,,,,,,,,Mazda CX 5 2.5 L AT,B1519TYF,Modalku
,,,,,,,,,,,,Mazda Cx-5 GT AT,B2928SZF,Modalku
,,,,,,,,,,,,Chevrolet  Captiva DSL 2.0 AT,L1301HK,Modalku
,,,,,,,,,,,,Toyota Avanza G 1.3 VVTI MT,B1821WMV,Modalku
,,,,,,,,,,,,Nissan Livina x gear AT,B2472FVG,Modalku
,,,,,,,,,,,,Suzuki Citycar MT,D1244ACT,Modalku
,,,,,,,,,,,,Toyota Sedan AT,B1917SAO,Modalku
,,,,,,,,,,,,Honda Jazz RS 1.5 AT,B2523TBS,Modalku
,,,,,,,,,,,,Hyundai Tucson 2.0 AT,B1582SLQ,Modalku
,,,,,,,,,,,,Honda Mobilio RS  MT,B1135ZFR,Modalku
,,,,,,,,,,,,Nissan Serena hws AT,T1641DQ,Modalku
,,,,,,,,,,,,Honda Honda New Jazz RS 1.5 AT  AT,A1016XS,Modalku
,,,,,,,,,,,,Nissan March 1.2 L XS  AT,A1059ZMA,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.7 G Lux AT,A1023NA,Modalku
,,,,,,,,,,,,Honda Cr-v 2.4 AT,B1176PJB,Modalku
,,,,,,,,,,,,Daihatsu Sigra R VVT-i  1.2 AT,B1563NRV,Modalku
,,,,,,,,,,,,Toyota Yaris S Limited AT,B1125NYS,Modalku
,,,,,,,,,,,,Honda Jazz 1.5 S AT  AT,B1910ZFL,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5 XV AT  AT,B1455ZUN,Modalku
,,,,,,,,,,,,Honda Accord AT,B1073EBH,Modalku
,,,,,,,,,,,,Nissan Serena ct AT,B1646WMZ,Modalku
,,,,,,,,,,,,Toyota Toyota AT,B1007KRG,Modalku
,,,,,,,,,,,,Daihatsu Xenia x dlx MT,B1120PYL,Modalku
,,,,,,,,,,,,Honda Freed s AT,BG1689AP,Modalku
,,,,,,,,,,,,Nissan X TRAIL 2.0 AT AT,B2596SXN,Modalku
,,,,,,,,,,,,Toyota Etios g MT,B1763KOX,Modalku
,,,,,,,,,,,,Daihatsu Ayla R MT,B1643ERD,Modalku
,,,,,,,,,,,,Toyota Avanza G  MT,B8516PK,Modalku
,,,,,,,,,,,,Daihatsu Sirion rs MT,B1203BMR,Modalku
,,,,,,,,,,,,Honda Brio e AT,B2931BZI,Modalku
,,,,,,,,,,,,Honda Hrv s AT,B2480KFM,Modalku
,,,,,,,,,,,,Honda Jazz s AT,B1452JVB,Modalku
,,,,,,,,,,,,Daihatsu Granmax 1.3 MT,B2097UKF,Modalku
